ace ##r wants $ 170 to just look at it then add the repair cost on top of that .####0,2 -1,-1	SUPPORT#PRICE#1
i love my laptop but the battery life is the worst i ' ve ever had on a laptop .####3,4 1,2	LAPTOP#GENERAL#2
i love my laptop but the battery life is the worst i ' ve ever had on a laptop .####6,8 10,11	BATTERY#GENERAL#0
it ' s still loading and working pretty fast and you ca n ' t beat the storage for the price .####-1,-1 8,9	LAPTOP#OPERATION_PERFORMANCE#2
it ' s still loading and working pretty fast and you ca n ' t beat the storage for the price .####17,18 -1,-1	HARD_DISC#PRICE#2
overall i ' m happy with it for what i use it for .####-1,-1 4,5	LAPTOP#GENERAL#2
if your main priority is a long lasting battery this is n ' t for you .####8,9 -1,-1	BATTERY#GENERAL#0
great price for a nice laptop .####5,6 4,5	LAPTOP#PRICE#2
great price for a nice laptop .####5,6 0,1	LAPTOP#PRICE#2
bought this for my daughter ' s senior year of college and she ' s very happy .####-1,-1 16,17	LAPTOP#GENERAL#2
it is a very nice computer that serves his needs very well .####5,6 4,5	LAPTOP#GENERAL#2
it is a very nice computer that serves his needs very well .####5,6 11,12	LAPTOP#GENERAL#2
8 ##g is enough to do most daily activities , i use n ##vid ##ia ge ##force now to play much higher end games like destiny 2 , r ##6 and what not .####12,17 -1,-1	GRAPHICS#GENERAL#1
the only con ##s are the battery and the brightness of the screen .####6,7 2,4	BATTERY#GENERAL#0
the only con ##s are the battery and the brightness of the screen .####12,13 2,4	DISPLAY#DESIGN_FEATURES#0
this is a brand i look for that i feel i can trust .####3,4 -1,-1	COMPANY#GENERAL#2
works great and looks great .####-1,-1 4,5	LAPTOP#OPERATION_PERFORMANCE#2
works great and looks great .####-1,-1 -1,-1	LAPTOP#DESIGN_FEATURES#2
great buy .####-1,-1 0,1	LAPTOP#GENERAL#2
the laptop works well , i have no complaints .####1,2 3,4	LAPTOP#OPERATION_PERFORMANCE#2
the only draw back with this pc is the battery life which lasts about 3 hr ##s before needing to be charged .####9,11 2,4	BATTERY#OPERATION_PERFORMANCE#0
nice little computer for the price .####2,3 0,1	LAPTOP#PRICE#2
but i would have never bought it if i knew that windows 10 was the worst , god awful garbage operating system i have ever encountered .####11,13 15,16	OS#GENERAL#0
but i would have never bought it if i knew that windows 10 was the worst , god awful garbage operating system i have ever encountered .####11,13 18,19	OS#GENERAL#0
i hate windows 10 .####2,4 1,2	OS#GENERAL#0
liking it a lot .####-1,-1 0,1	LAPTOP#GENERAL#2
haven ' t had it long so only 4 stars but if it holds up it ' s worth 5 .####-1,-1 -1,-1	LAPTOP#GENERAL#2
has nice features for the price and nice video for streaming movies .####-1,-1 7,8	LAPTOP#PRICE#2
has nice features for the price and nice video for streaming movies .####8,9 -1,-1	MULTIMEDIA_DEVICES#GENERAL#2
bought this for my ten year old for school and creating .####-1,-1 -1,-1	LAPTOP#GENERAL#1
she loves it !####-1,-1 1,2	LAPTOP#GENERAL#2
i would buy this for myself as well .####-1,-1 -1,-1	LAPTOP#GENERAL#2
i wish the camera was a little better , but it ' s great otherwise .####3,4 -1,-1	MULTIMEDIA_DEVICES#GENERAL#0
i wish the camera was a little better , but it ' s great otherwise .####-1,-1 13,14	LAPTOP#GENERAL#2
i do like it , just now that i had time to use it in preparing for my exams , the following was observed : -####-1,-1 2,3	LAPTOP#GENERAL#2
battery life sucks .####0,2 2,3	BATTERY#GENERAL#0
the camera sucks .####1,2 2,3	MULTIMEDIA_DEVICES#GENERAL#0
this is nice for the price and has good speed .####-1,-1 2,3	LAPTOP#PRICE#2
this is nice for the price and has good speed .####-1,-1 8,9	LAPTOP#OPERATION_PERFORMANCE#2
this laptop exceeds my expectations for a mid - price laptop .####1,2 -1,-1	LAPTOP#GENERAL#2
the only problem is that certain streaming video applications freeze up in windows 10 and i can not remember how i resolved the problem on my old laptop .####6,9 -1,-1	SOFTWARE#GENERAL#0
the customer support rep at amazon was of no help , though he did try .####1,4 -1,-1	SUPPORT#GENERAL#1
i use this laptop for work .####3,4 -1,-1	LAPTOP#GENERAL#1
otherwise , it ' s a good computer .####7,8 6,7	LAPTOP#GENERAL#2
it ' s pretty fast even with heavy use and multiple applications running at once .####-1,-1 4,5	LAPTOP#OPERATION_PERFORMANCE#2
love the laptop ; great quality ; sent as expected , on time .####2,3 0,1	LAPTOP#GENERAL#2
love the laptop ; great quality ; sent as expected , on time .####-1,-1 4,5	LAPTOP#QUALITY#2
love the laptop ; great quality ; sent as expected , on time .####-1,-1 -1,-1	SHIPPING#GENERAL#2
it is far and away the best i ' ve ever had .####-1,-1 6,7	LAPTOP#GENERAL#2
fantastic computer .####1,2 0,1	LAPTOP#GENERAL#2
the programs run great with no la ##g time .####1,2 3,4	SOFTWARE#GENERAL#2
battery lasts for quite sometime .####0,1 -1,-1	BATTERY#OPERATION_PERFORMANCE#2
it ' s not real fast and it doesn ' t have a lot of storage .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
it ' s not real fast and it doesn ' t have a lot of storage .####15,16 -1,-1	HARD_DISC#GENERAL#0
i don ' t ask much of a laptop so i am happy with it .####8,9 12,13	LAPTOP#GENERAL#2
it ' s fast , connects quickly to wi ##fi , and the screen is quite nice .####-1,-1 3,4	LAPTOP#OPERATION_PERFORMANCE#2
it ' s fast , connects quickly to wi ##fi , and the screen is quite nice .####-1,-1 6,7	LAPTOP#CONNECTIVITY#2
it ' s fast , connects quickly to wi ##fi , and the screen is quite nice .####13,14 16,17	DISPLAY#GENERAL#2
i liked the fact that len ##ovo came with the microsoft programs on it .####5,7 1,2	LAPTOP#DESIGN_FEATURES#2
the only problem that i have found about len ##ovo is that it comes with a program called migration , which is supposed to migrate your things from your old computer to your new computer .####18,19 -1,-1	SOFTWARE#DESIGN_FEATURES#0
no problems with this computer .####4,5 -1,-1	LAPTOP#GENERAL#2
i enjoy that it has 10 key .####-1,-1 1,2	LAPTOP#DESIGN_FEATURES#2
fast to start up .####2,4 0,1	LAPTOP#OPERATION_PERFORMANCE#2
for reference : iv ##e had this laptop for about 4 months now for my first year at college .####7,8 -1,-1	LAPTOP#GENERAL#1
if all you are looking for is a reliable laptop to write papers on or to brows ##e the web , this is good .####9,10 8,9	LAPTOP#GENERAL#2
if all you are looking for is a reliable laptop to write papers on or to brows ##e the web , this is good .####9,10 23,24	LAPTOP#GENERAL#2
youtube works well on here .####0,1 2,3	SOFTWARE#OPERATION_PERFORMANCE#2
runs great - however , i just tried to up ##load my small adventure videos and the built in video player stops mid video about 10 seconds in - audio continues .####-1,-1 1,2	LAPTOP#OPERATION_PERFORMANCE#2
runs great - however , i just tried to up ##load my small adventure videos and the built in video player stops mid video about 10 seconds in - audio continues .####19,21 -1,-1	MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE#0
battery life is horrible though .####0,2 3,4	BATTERY#OPERATION_PERFORMANCE#0
easy to use and set up .####4,6 0,1	LAPTOP#USABILITY#2
sorry not a fan of windows 10 .####5,7 -1,-1	OS#GENERAL#0
nice little laptop .####2,3 0,1	LAPTOP#GENERAL#2
nice laptop for every day use , with some extra features .####1,2 0,1	LAPTOP#GENERAL#2
my only issue is that the fan is very noisy and gets stuck at times , causing worry about the laptop getting over ##hea ##ted .####6,7 9,10	FANS&COOLING#OPERATION_PERFORMANCE#0
i am very much in the causal gamer category , sims 4 being probably the most taxi ##ng ( on the system ) game i will play , and it seems to be running it just fine .####-1,-1 36,37	LAPTOP#OPERATION_PERFORMANCE#2
really happy with this laptop !####4,5 1,2	LAPTOP#GENERAL#2
i just received this product about an hour or so ago .####4,5 -1,-1	LAPTOP#GENERAL#1
i have yet to update the drives on it or try a game but so far its a good machine .####19,20 18,19	LAPTOP#GENERAL#2
i recommend buying it .####-1,-1 1,2	LAPTOP#GENERAL#2
very nice i love it it work very well even i ins ##tal gt ##a 5 it run but not en ##og ##ht video card mb but run at all####-1,-1 1,2	LAPTOP#OPERATION_PERFORMANCE#2
very nice i love it it work very well even i ins ##tal gt ##a 5 it run but not en ##og ##ht video card mb but run at all####-1,-1 3,4	LAPTOP#OPERATION_PERFORMANCE#2
very nice i love it it work very well even i ins ##tal gt ##a 5 it run but not en ##og ##ht video card mb but run at all####-1,-1 8,9	LAPTOP#OPERATION_PERFORMANCE#2
very nice i love it it work very well even i ins ##tal gt ##a 5 it run but not en ##og ##ht video card mb but run at all####23,25 -1,-1	MEMORY#GENERAL#0
very good purchase .####-1,-1 1,2	LAPTOP#GENERAL#2
the price was great during prime days .####-1,-1 3,4	LAPTOP#PRICE#2
works well so far .####-1,-1 1,2	LAPTOP#OPERATION_PERFORMANCE#2
price and product , outstanding .####2,3 4,5	LAPTOP#PRICE#2
i like the size but dislike the battery life .####-1,-1 1,2	LAPTOP#DESIGN_FEATURES#2
i like the size but dislike the battery life .####7,9 5,6	BATTERY#GENERAL#0
still learning but it ' s a good computer and a great deal####8,9 7,8	LAPTOP#GENERAL#2
still learning but it ' s a good computer and a great deal####8,9 11,12	LAPTOP#GENERAL#2
it look like a professional laptop but over ##ral ##l get this laptop you wo n ' t regret it , no ne ##gat ##ivity about it####-1,-1 -1,-1	LAPTOP#GENERAL#2
great computer for the price####1,2 0,1	LAPTOP#PRICE#2
works well .####-1,-1 1,2	LAPTOP#OPERATION_PERFORMANCE#2
great laptop , very quick and efficient for work and casual gaming , got over 200 f ##ps for steam games .####1,2 0,1	LAPTOP#GENERAL#2
great laptop , very quick and efficient for work and casual gaming , got over 200 f ##ps for steam games .####1,2 4,5	LAPTOP#OPERATION_PERFORMANCE#2
great laptop , very quick and efficient for work and casual gaming , got over 200 f ##ps for steam games .####1,2 6,7	LAPTOP#OPERATION_PERFORMANCE#2
great speed and storage .####-1,-1 0,1	LAPTOP#OPERATION_PERFORMANCE#2
great speed and storage .####3,4 0,1	HARD_DISC#GENERAL#2
i ' ve had it since may and enjoy it####-1,-1 8,9	LAPTOP#GENERAL#2
1 , the touch ##screen stopped working after 6 months for finger presses .####3,5 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
samsung keeps telling me that the serial number is invalid .####0,1 -1,-1	SUPPORT#GENERAL#1
samsung ' s warrant ##y process was not working properly for this device .####0,5 -1,-1	WARRANTY#GENERAL#0
when i called they would not accept the serial number .####-1,-1 -1,-1	SUPPORT#GENERAL#0
don ' t buy it .####-1,-1 -1,-1	LAPTOP#GENERAL#0
do not buy it like me , a samsung fan .####-1,-1 -1,-1	LAPTOP#GENERAL#0
this device ( and its brother the plus ) has a grave hardware flaw that causes the touch ##screen to move on its own .####12,13 13,14	HARDWARE#OPERATION_PERFORMANCE#0
this device ( and its brother the plus ) has a grave hardware flaw that causes the touch ##screen to move on its own .####17,19 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
i got a replacement unit and it had the same issue .####4,5 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
samsung has not been helpful in getting this fixed .####0,1 2,5	COMPANY#OPERATION_PERFORMANCE#0
it makes the entire device un ##usa ##ble .####4,5 5,8	LAPTOP#USABILITY#0
ridiculous for something so expensive , some internet research shows numerous people having this issue .####-1,-1 0,1	LAPTOP#PRICE#0
i like everything about the device , but the beautiful touch ##screen ended up mal ##fu ##nction ##ing about 6 - months after purchase .####5,6 1,2	LAPTOP#GENERAL#2
i like everything about the device , but the beautiful touch ##screen ended up mal ##fu ##nction ##ing about 6 - months after purchase .####10,12 9,10	DISPLAY#DESIGN_FEATURES#2
i like everything about the device , but the beautiful touch ##screen ended up mal ##fu ##nction ##ing about 6 - months after purchase .####10,12 -1,-1	DISPLAY#QUALITY#0
samsung rm ##a ' d the device to replace the screen .####0,1 -1,-1	SUPPORT#OPERATION_PERFORMANCE#1
the solution i am trying for now is to di ##sable the touch screen .####12,14 -1,-1	DISPLAY#QUALITY#1
hot / dead pixels on screen after 4 months use .####5,6 -1,-1	DISPLAY#QUALITY#0
the pro worked great until now .####1,2 3,4	LAPTOP#OPERATION_PERFORMANCE#2
now there are pixels on the screen not working , and they are multi ##ply ##ing .####6,7 -1,-1	DISPLAY#QUALITY#0
the pixels are currently stuck .####1,2 4,5	DISPLAY#OPERATION_PERFORMANCE#0
i will see if samsung honors their war ##rn ##ty , if so , i will probably change / update this review .####4,5 -1,-1	COMPANY#GENERAL#1
the chrome ##book is an amazing product with one huge glaring flaw - you can not use the sd card with any android apps , nor use android apps with wi ##fi te ##ther ##ing or anything reaching ` ` outside the sand ##box ` ` .####1,3 5,6	LAPTOP#GENERAL#2
the chrome ##book is an amazing product with one huge glaring flaw - you can not use the sd card with any android apps , nor use android apps with wi ##fi te ##ther ##ing or anything reaching ` ` outside the sand ##box ` ` .####18,20 11,12	PORTS#OPERATION_PERFORMANCE#0
o ##ops , i didn ' t anti ##ci ##pate android is crippled on here .####10,11 -1,-1	SOFTWARE#OPERATION_PERFORMANCE#0
if you are wanting a beautiful screen that beats all other tablets for color range and matches samsung ' s galaxy tab s ##3 ( top android tablet ) , but if you absolutely must have a keyboard , don ' t buy this .####6,7 5,6	DISPLAY#DESIGN_FEATURES#2
if you are wanting a beautiful screen that beats all other tablets for color range and matches samsung ' s galaxy tab s ##3 ( top android tablet ) , but if you absolutely must have a keyboard , don ' t buy this .####37,38 -1,-1	KEYBOARD#GENERAL#0
i am terribly disappointed with obviously a poor qc by samsung .####8,9 3,4	COMPANY#QUALITY#0
i am terribly disappointed with obviously a poor qc by samsung .####8,9 7,8	COMPANY#QUALITY#0
unfortunately , on day 2 since i received the chrome ##book pro , when i flipped the lid to turn it into a tablet / tent mode , screen started flickering all over the place .####28,29 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
returning it into a standard laptop position did not help , the screen actually turned dark and only closing and opening the lid helped return it to normal state .####12,13 -1,-1	DISPLAY#OPERATION_PERFORMANCE#0
to make things worse , i currently live overseas and am highly doubtful that samsung would do anything about this , given that it was bought in the us .####14,15 12,13	SUPPORT#OPERATION_PERFORMANCE#0
no matter where on earth , you can get your apple product repaired .####10,12 -1,-1	SUPPORT#GENERAL#2
in short , i would be very cautious as to ordering this product given the obvious history of quality control issues .####12,13 7,8	LAPTOP#QUALITY#0
wanting something maybe a pinch faster , but more importantly , a flip ##py touch ##screen with google play support .####14,16 -1,-1	DISPLAY#OPERATION_PERFORMANCE#2
first and foremost , lets talk about the infamous keyboard .####9,10 8,9	KEYBOARD#GENERAL#0
yes , it ' s absolute garbage .####-1,-1 6,7	KEYBOARD#GENERAL#0
i ' m surprised people are settling for claiming ` ` it ' s good enough ` ` or ` ` gets the job done ` ` when every time i use it , i ' m constantly reminded of how i should have just sprang for the pixel ##book when it was on sale for $ 69 ##9 .####-1,-1 -1,-1	LAPTOP#PRICE#0
i ' ve owned / used dozens upon dozens of keyboards and there is absolutely no questions this one is the worst .####10,11 21,22	KEYBOARD#GENERAL#0
my 2nd issues is with it ' s performance .####-1,-1 -1,-1	LAPTOP#OPERATION_PERFORMANCE#0
even in the early rounds the frames are heavily compromised and the entire game feels very slug ##gis ##h .####-1,-1 16,19	SOFTWARE#OPERATION_PERFORMANCE#0
i ' ll give the chrome ##book pro an extra star for its best asset , the screen .####17,18 13,14	DISPLAY#GENERAL#2
it does indeed look excellent !####-1,-1 4,5	DISPLAY#DESIGN_FEATURES#2
